entidad,tipo_entidad
Cristián Huneeus,ser humano
Luis Altamirano,ser humano
Gert Weil,ser humano
Leon Schidlowsky,ser humano
Alfredo Perl,ser humano
Marlene Ahrens,ser humano
Andrés Arteaga,ser humano
María Isabel Allende,ser humano
Matías Fernández,ser humano
David RosenmannTaub,ser humano
Carlos Carmona Tello,ser humano
Gonzalo Jara,ser humano
Luis Jiménez,ser humano
Marta Harnecker,ser humano
Tocopilla,ciudad
escultor,profesión artística
Francia,estado
Universidad de Chile,universidad
El Incal,serie de historietas
Santiago de Chile,ciudad
político,profesión
Chile,país
diputado de Chile,cargo
abogado,profesión
Medalla Aeronáutica,condecoración
Valparaíso,ciudad
compositor,ocupación
The Mackay School,escuela
The 101ers,grupo musical
cantante,músico
Linares,ciudad
futbolista,deportista
monja cristiana,religioso cristiano
"Colegio del Sagrado Corazón, Monjas Inglesas",escuela
actor,profesión
Nueva York,página de desambiguación de Wikimedia
productor discográfico,profesión musical
Estados Unidos,asentamiento
Universidad Brown,universidad
Space Is Only Noise,álbum
pintor,profesión
Gran Cruz de la Orden Civil de Alfonso X el Sabio,grado de una orden
Concepción,ciudad
presentador de televisión,presentador
Colegio del Verbo Divino,escuela
Puerto Montt,ciudad
periodista,profesión
senador de Chile,cargo
Orden Playa Girón,orden
Iquique,ciudad
Curicó,ciudad
ciclista,deportista
Bristol,ciudad
marino,profesión
Lebu,ciudad
escritor,profesión
España,página de desambiguación de Wikimedia
Universidad de Rostock,universidad
Valdivia,ciudad
Generación del 13,colectivo de artistas
Temuco,ciudad
entrenador,profesión
Punta Arenas,ciudad
profesor,educador
Universidad de Heidelberg,universidad
Ñuñoa,comuna
Universidad Las Condes,universidad
Talca,ciudad
cantautor,profesión musical
Orden al Mérito Docente y Cultural Gabriela Mistral,orden
Instituto Pedagógico,universidad
"Tengo miedo, torero",obra literaria
triatleta,deportista
Saint George's College,escuela
Premio al mejor deportista de Chile,premio
guionista,profesión
Pontificia Universidad Católica de Chile,universidad
Anexo:Platino a la mejor ópera prima de ficción iberoamericana,premio
Caracas,ciudad
Universidad Central de Venezuela,universidad
Osorno,ciudad
poeta,escritor
Universidad de Concepción,universidad
Universidad Americana,universidad
Managua,ciudad
ensayista,profesión
La mujer habitada,obra literaria
Academia Nicaragüense de la Lengua,sociedad erudita
Universidad de Princeton,universidad
Real Academia de Artes,institución académica
Roma,película
monje,ocupación religiosa
Federico Von Pilsener,personaje
compositor de bandas sonoras,profesión musical
Universidad Complutense de Madrid,placa conmemorativa
Premio Máquina del Tiempo,premio
actor de cine,profesión
Drama Centre London,escuela de arte dramático
sacerdote católico,presbítero
obispo diocesano,cargo eclesiástico
Cobquecura,villa
Yerbas Buenas,villa
Premio Nacional de Literatura,página de desambiguación de Wikimedia
jockey,propiedad de Wikidata relacionada con la equitación
Maracay,ciudad
San Fabián,municipio
Universidad de Oxford,institución educativa
geólogo,profesión
Universidad de Vilna,universidad
activista por los derechos humanos,activista
Purranque,ciudad
Ruch,página de desambiguación de Wikimedia
economista,profesión
La eterna crisis chilena,libro
Cauquenes,ciudad
embajador,cargo
Copiapó,ciudad
juez,propiedad de Wikidata relacionada con el derecho y la justicia
Real Universidad de San Felipe,universidad
director de cine,profesión
Anexo:Premio Concha de Plata a la mejor dirección,premio
Beca Guggenheim,premio
Chillán,ciudad
Rosario,municipio
modelo,propiedad
Bogotá,ciudad
personalidad de radio,profesión
Universidad Finis Terrae,universidad
Universidad de Wurzburgo,universidad
Universidad de California en Berkeley,institución educativa
historietista,profesión
Universidad Técnica del Estado,universidad
árbitro de fútbol,profesión
Rengo,ciudad
físico,profesión
Academia Nacional de Ciencias de los Estados Unidos,institución académica
Canal 13,página de desambiguación de Wikimedia
La nana,película
Antofagasta,ciudad
Universidad Tecnológica Metropolitana,universidad
Rostock,ciudad
San Felipe,municipio
atleta,deportista
Universidad Gabriela Mistral,universidad
Premio Nacional del Deporte de Chile,distinción
militar,profesión
obispo auxiliar,cargo eclesiástico
agrónomo,profesión
Ministro de Agricultura,cargo
Salamanca,municipio
presidente de la Cámara de Diputadas y Diputados de Chile,presidente
cardenal,clérigo católico
Arica,ciudad
Grupo Alegría,grupo musical
Premio Heat Latin Music por mejor artista sur,premio
Viña del Mar,ciudad
Slayer,banda de heavy metal
árbitro FIFA,cargo
Chimbarongo,ciudad
San Antonio,asentamiento
actor de voz,Wikidata property to identify contributors to audiovisual works
tenista,deportista
La Serena,ciudad
Universidad de Valparaíso,universidad
Universidad de Oldenburgo,universidad
catedrático,profesor universitario
Universidad Harvard,universidad
Nueva Imperial,comuna
biatleta,profesión
Ferrara,ciudad
empresario,ocupación
productor de cine,profesión
Universidad Rice,universidad
Universidad de Santiago de Chile,universidad
biólogo,profesión
Premio Nacional de Arte de Chile,distinción
Villa Alegre,ciudad
Mendoza,ciudad
Los Andes,ciudad
Angol,ciudad
École Normale de Musique de Paris,conservatorio
Academia Chilena de Bellas Artes,institución artística
París,ciudad
médico,profesión
Saubusse,comuna
Universidad Pontificia de Santo Tomás de Aquino,universidad
Saint George,pueblo
Miss Universo Chile,concurso de belleza femenina
Escuela Militar del Libertador Bernardo O'Higgins,institución académica
Sorbonne Universidad de París,universidad
director supremo de Chile,jefe de Estado
Colina,ciudad
obispo titular,cargo eclesiástico
Las Condes,ciudad
Virreinato del Perú,virreinato del Imperio español
Universidad Nacional Mayor de San Marcos,universidad
Arauco,ciudad
Centro Latinoamericano de Altos Estudios Musicales,Instituto Di Tella
Ovalle,ciudad
Premio Chiara,premio
Brno,ciudad
matemático,profesión
Universidad Humboldt de Berlín,universidad
Universidad Técnica Federico Santa María,universidad
ministro de Vivienda y Urbanismo de Chile,ministro
fotógrafo,profesión
"Escuela superior de música y teatro ""Felix Mendelssohn""",universidad
badmintonista,deportista
campeón nacional,campeón
Wisconsin,estado
Hamilton,villa
Brasil,álbum
Miembro del 3.º Parlamento del Reino Unido,miembro del Parlamento
Orden del Baño,orden
Talcahuano,ciudad
Colegio de Comando y Estado Mayor General del Ejército de los Estados Unidos,escuela de guerra
ministro de Defensa Nacional de Chile,ministro
editor,Wikidata property to identify contributors to creative works
La amortajada,serie de televisión
Curepto,villa
Escuela Normal Superior José Abelardo Núñez,escuela normal
Universidad de Iowa,universidad
Buin,ciudad
2666,obra literaria
Premio Rómulo Gallegos,premio
Pisa,ciudad
North High School,escuela secundaria superior
zoólogo,profesión
The Grange School,escuela
Medellín,ciudad
velocista,disciplina deportiva
Colombia,país
Universidad de Friburgo,universidad
Universidad Libre de Berlín,universidad
Liceo José Victorino Lastarria,escuela secundaria
esquiador de fondo,ocupación
Universidad de Nueva York,universidad
Violeta se fue a los cielos,película
jefe de redacción,ocupación
Premio Caleuche a la mejor actriz protagónica en teleseries,premio
Punitaqui,villa
ministro del Interior de Chile,ministro
Universidad de Tel Aviv,universidad
director de orquesta,profesión
Hochschule für Musik und Tanz Köln,universidad
Universidad Nacional Autónoma de México,universidad
Buenos Aires,ciudad
Coquimbo,ciudad
Hualpén,ciudad
La revolución teórica de Marx,edición
Marta Colvin,ser humano
Nicolás Canales,ser humano
Alberto Warnken,ser humano
Héctor Vergara,ser humano
Marcela Contreras,ser humano
Antonio Skármeta,ser humano
José Florencio Guzmán,ser humano
Alejandro Zambra,ser humano
Álvaro Salvadores,ser humano
Álex Varas,ser humano
Elías Fernández Albano,ser humano
Alfredo Duhalde,ser humano
Luis Barros Borgoño,ser humano
Manuel Rodríguez Araneda,ser humano
Daniel Riquelme,ser humano
Honorino Landa,ser humano
Máximo Carvajal,ser humano
Patricio Manns,ser humano
Manuel Iturra,ser humano
Cesar Espinoza,ser humano
Ivo Basay,ser humano
Sergio Salgado,ser humano
Claudio Videla,ser humano
Arturo Aldunate Phillips,ser humano
André Ubilla,ser humano
Arturo Coddou,ser humano
Leonardo Zamora,ser humano
Verónica I,ser humano
Alfonso Orueta,ser humano
Sergio Vodanovic,ser humano
Pamela Díaz,ser humano
Cecilia Amenábar,ser humano
Antonio José de Irisarri,ser humano
Bartolomé Blanche,ser humano
Jorge González von Marées,ser humano
Pedro Opaso Letelier,ser humano
Anselmo Sule,ser humano
Carolina Torres,ser humano
Jorge Zabaleta,ser humano
Claudio Calderón,ser humano
Antonio Moreno Casamitjana,ser humano
Guillermo Díaz Zambrano,ser humano
Óscar Wirth,ser humano
Patricio Toledo,ser humano
José Gregorio Argomedo,ser humano
Atilio Cremaschi,ser humano
José Miguel Infante,ser humano
Jaime Valdés,ser humano
Jorge Mandrú,ser humano
Leo Caprile,ser humano
Juan Francisco Fresno,ser humano
Hugo Rubio,ser humano
Alex VonSchwedler,ser humano
Carlos Altamirano Orrego,ser humano
Pascual Baburizza,ser humano
Paulo Garcés,ser humano
Arístides Martínez,ser humano
Guido Pizarro,ser humano
Dorotea de Chopitea,ser humano
Roberto Cortés,ser humano
Julio Martínez,ser humano
Aniara Amos,ser humano
Jorge Medina Estévez,ser humano
Stefano Magnasco,ser humano
Rafael Araneda,ser humano
Francisco Ramón Vicuña,ser humano
Raimundo Infante,ser humano
Raúl Iturriaga Neumann,ser humano
Juan Castillo Balcázar,ser humano
Jorge Coulón,ser humano
Antonio Smith,ser humano
Luis Lindorfo Mayanés,ser humano
Antonio Varas,ser humano
Roberto Castillo Guerrero,ser humano
Felipe Mora,ser humano
Marko Zaror,ser humano
Edgar Melo,ser humano
Guillermo Saavedra,ser humano
Isidoro Dubournais,ser humano
Vladimir Bigorra,ser humano
Nicolás Peñailillo,ser humano
Maite Orsini,ser humano
Gonzalo Lira,ser humano
Alberto Hurtado,ser humano
Sergio Otoniel Contreras Navia,ser humano
Francisco José Cox Huneeus,ser humano
Antonio Prieto,ser humano
Rosa Markmann,ser humano
Galvarino Apablaza,ser humano
Matías Donoso,ser humano
Sergio Bitar,ser humano
Hans Gildemeister,ser humano
José Sulantay,ser humano
Daúd Gazale,ser humano
Nicolás Millán,ser humano
Carolina de Moras,ser humano
Jaime Pizarro,ser humano
Alejandro Abad,ser humano
Juan Ignacio González Errázuriz,ser humano
Diego Alejandro Ruiz,ser humano
El árbol,película
titiritero,ocupación
Nicaragua,país
Biblioteca del Congreso de Estados Unidos,biblioteca
Orden de Klement Gottwald por la Construcción de la Patria Socialista,orden
San Javier de Loncomilla,ciudad
Canadá,parada de autobús
Universidad de Manitoba,universidad
Reino Unido,país
University College de Londres,universidad
filósofo,académico
Universidad de Columbia,universidad
Anexo:Globo de Oro a la mejor película en lengua no inglesa,premio
crítico literario,profesión
Poeta chileno,obra literaria
Ponferrada,municipio
diplomático,profesión
presidente de Chile,cargo público
Río ñacalaca,ciudad
Liceo de Aplicación,escuela
ministro de Relaciones Exteriores de Chile,ministro
cronista,profesión
Puerto Natales,ciudad
liceo 7 de hombres,escuela
Nacimiento,ciudad
Karaxú,grupo musical
Italia,país
Rancagua,ciudad
Instituto Nacional,escuela secundaria superior
teatro,teatro
Penco,ciudad
Instituto O'Higgins de Rancagua,escuela
Split,ciudad
dramaturgo,propiedad de Wikidata para elementos sobre obras
Ciudad de Guatemala,ciudad
Universidad de San Carlos de Guatemala,universidad
presidente del Senado de Chile,cargo
Internado Nacional Barros Arana,escuela
Pontificio Instituto Bíblico,Instituto pontificio
Seminario de Lima,seminario menor
San Fernando,ciudad
presidente de la Junta Nacional de Gobierno de Chile,cargo
esquiador alpino,profesión
Instituto Rafael Ariztía,escuela
Pontificia Universidad Gregoriana,universidad
agente deportivo,profesión
Alemania,país
Koločep,isla
Parral,ciudad
astrónomo,científico
Observatorio de La Silla,observatorio astronómico
filántropo,benefactor
comentarista deportivo,profesión
Colegio San Pedro Nolasco,escuela
Premio Nacional de Periodismo Deportivo de Chile,distinción
coreógrafo,Wikidata property to identify contributors to audiovisual works
realizador,profesión
Congregación para el Culto Divino y la Disciplina de los Sacramentos,congregación de la Curia Romana
arquitecto,profesión
músico,profesión
IntiIllimani,grupo musical
grabador,profesión
Sociedad Chilena de Historia y Geografía,bien cultural
Craighouse School,escuela
Cañete,ciudad
Burbank,ciudad
videobloguero,bloguero
Dartmouth College,universidad
Colegio San Ignacio,página de desambiguación de Wikimedia
Taltal,ciudad
Loncoche,ciudad
Liceo Polivalente Juan Gómez Millas,escuela secundaria superior
revolucionario,activista político
San José de Maipo,ciudad
Lima,ciudad
Opus Dei,prelatura personal
San Miguel de Tucumán,ciudad
Manuel Contreras,ser humano
Aldo Bahamonde,ser humano
Aldo Bernucci,ser humano
Aldo Cornejo,ser humano
Aldo Francia,ser humano
Alfonso Asenjo Gómez,ser humano
Alfonso Escobar,ser humano
Alfonso JuanOliver,ser humano
Valentín Letelier,ser humano
Alfonso Alcalde,ser humano
Jorge Basadre,ser humano
Alexandra Domínguez,ser humano
Alexis Delgado,ser humano
Alexis Nahuelquén,ser humano
Alexis Yáñez,ser humano
Arturo Torres Rioseco,ser humano
Carlos Villanueva,ser humano
Pedro Morales,ser humano
Claudio Maldonado Rivera,ser humano
Domingo Godoy Matte,ser humano
Alfonso Lara,ser humano
Ester Soré,ser humano
Ramón Vinay,ser humano
Eberardo Villalobos,ser humano
Ulises Poirier,ser humano
Alcibíades Roldán Álvarez,ser humano
Alcibíades Vicencio,ser humano
Roberto Rojas,ser humano
Bernardo Leighton,ser humano
Pepo,ser humano
Marco Arriagada,ser humano
Carolina Schmidt,ser humano
José Miguel Carrera,ser humano
Gastón Castro,ser humano
Fernando Errázuriz Aldunate,ser humano
Clodomiro Almeyda,ser humano
Ana Lya Uriarte,ser humano
Franklin Lobos,ser humano
Rubén Selmán,ser humano
Simón Pesutic,ser humano
Miguel Humberto Enriquez Espinosa,ser humano
Mauricio Basualto,ser humano
Roberto Ampuero,ser humano
Noelle Barahona,ser humano
Francisco Varela,ser humano
Alejandro Serani Burgos,ser humano
Alejandro Silva Bascuñán,ser humano
Alejandro Silva Vilches,ser humano
Alejandro Tinsly,ser humano
Alejandro Toro Herrera,ser humano
Alejandro Venegas,ser humano
Alejandro Vial,ser humano
Alejandro Vial Guzmán,ser humano
Alejandro Walker Valdés,ser humano
Jeremías Israel,ser humano
Álex Anwandter,ser humano
Alex Bowen,ser humano
Alex Lemun,ser humano
Alex Zisis,ser humano
Máximo Pacheco Matte,ser humano
Eros Pérez,ser humano
Pedro González Vera,ser humano
Carlos Schneeberger,ser humano
Marcos González Salazar,ser humano
Jorge Robledo Oliver,ser humano
Juan Luis Martínez,ser humano
Sergio Livingstone,ser humano
José María Caro Rodríguez,ser humano
Luis Pardo Villalón,ser humano
Cristina Montt,ser humano
Alejandra Fosalba,ser humano
Alberto van Klaveren,ser humano
Albino Barra Villalobos,ser humano
Arturo Gordon Vargas,ser humano
Arturo Jara Márquez,ser humano
Arturo Prat,ser humano
Arturo Torres,ser humano
Jerónimo Méndez,ser humano
Cristóbal Jorquera,ser humano
Carlos Labrín,ser humano
Matías Campos,ser humano
Bryan Carrasco,ser humano
Erik Figueroa,ser humano
Hans Helfritz,ser humano
Leonel Herrera Rojas,ser humano
Mauricio Aros,ser humano
Fernando Cornejo,ser humano
Ariel Mateluna,ser humano
Jorge Arrate,ser humano
Carlos Robles,ser humano
José Piñera Echenique,ser humano
Hernán Rivera Letelier,ser humano
Gabriela Barros,ser humano
Francisco Rojas Rojas,ser humano
Silvio Caiozzi,ser humano
Rodrigo Barrera,ser humano
Miguel Serrano,ser humano
Alejandro Noemi Callejas,ser humano
Alejandro Noemi Huerta,ser humano
Alejandro Paulino Campos Rebhein,ser humano
Alejandro Peña Ceballos,ser humano
Alejandro Reyes,ser humano
Alejandro Rojas Wainer,ser humano
Alejandro Ríos Valdivia,ser humano
Manuel Baquedano,ser humano
Emiliano Figueroa,ser humano
Rodrigo González,ser humano
Armando Quezada Acharán,ser humano
Rodrigo Valenzuela,ser humano
José Maza Fernández,ser humano
Carlos Ibáñez,ser humano
Mario Soto,ser humano
Manfred Max Neef,ser humano
Agustín Moreno Ladrón de Guevara,ser humano
Agustín Squella,ser humano
Agustín Urrejola Leclerc,ser humano
Agustín Vial Santelices,ser humano
Agustín de Orrego Zamora,ser humano
Benjamín Vivanco Toro,ser humano
Alamiro de Ávila,ser humano
Albert Cussen,ser humano
Alberto Arenas,ser humano
Alberto Baltra,ser humano
Jaime Hales,ser humano
Alberto Cardemil,ser humano
Alberto Carrizo Olivares,ser humano
Alberto Castillo Urbistondo,ser humano
Alberto Ceardi Ferrer,ser humano
Alberto Chaigneau,ser humano
Alberto Cienfuegos,ser humano
Jaime Caro,ser humano
Alberto Cruz Covarrubias,ser humano
Alberto Edwards Vives,ser humano
Aldo Schiappacasse,ser humano
