entidad	instancia_de	subclase_de
obispo diocesano	cargo eclesiástico, función episcopal	obispo, pastor, ordinario, clérigo diócesano, cabeza de una diócesis
Tumaco	municipio de Colombia	
Universidad del Cauca	universidad pública, editor de acceso abierto	
Londres	página de desambiguación de Wikimedia	
Reino Unido	país, país insular, estado soberano, poder colonial	
The Rolling Stones	grupo musical, banda	
El Banco	municipio de Colombia	
profesor universitario	profesión académica	profesor, académico
Universidad Nacional de Colombia, Sede Bogotá	campus, organización educativa	
Urrao	municipio de Colombia	
Pedro Juan Caballero	ciudad, ciudad fronteriza, municipio de Paraguay, gran ciudad	
Paraguay	país, estado soberano	
El Carmen de Bolívar	municipio de Colombia	
Sucre	municipio de Bolivia, gran ciudad	
Premio Puskás	categoría de un premio	
Pradera	página de desambiguación de Wikimedia	
Futbolista del año en Sudamérica	distinción	
Kilian Virviescas	ser humano	
Manuel Mejía Vallejo	ser humano	
Andrés Orozco-Estrada	ser humano	
Pedro Zape	ser humano	
Guillermo Velásquez Ramírez	ser humano	
Ernesto Frieri	ser humano	
Martín von Hildebrand	ser humano	
José Querubín Moreno	ser humano	
Mauricio Ardila	ser humano	
Elkin Murillo	ser humano	
Óscar Tulio Lizcano	ser humano	
María Ángela Holguín	ser humano	
Juan Pablo Villegas	ser humano	
Marco Yonier Pérez Murillo	ser humano	
Emma Claudia Castellanos	ser humano	
Cayetano Sarmiento	ser humano	
Ángel Oswaldo Fernández	ser humano	
Camilo Daza	ser humano	
Manolo Cardona	ser humano	
Francisco Zuluaga	ser humano	
Jericó	ciudad, tell	
Premio Nadal	premio literario	
director de orquesta	propiedad de Wikidata para elementos sobre organizaciones, propiedad de Wikidata relacionada con la música	
Universidad de Música y Arte Dramático de Viena	conservatorio de música, universidad pública, escuela de arte dramático	
Prendedor de Honor por Servir a La Provincia de Austria Baja	orden	
Arjona	página de desambiguación de Wikimedia	
Nueva York	página de desambiguación de Wikimedia	
Ventachurrusca	municipio de Colombia	
Yarumal	municipio de Colombia	
diplomático	profesión, título corporativo	estadista, alto cargo
Universidad de París X Nanterre	universidad en Francia	
Pácora	municipio de Colombia	
Universidad La Gran Colombia	universidad	
