entidad	instancia_de	subclase_de
Polonia	país, estado soberano	
juez	propiedad de Wikidata relacionada con el derecho y la justicia	
Catacaos	ciudad	
líder	cargo, ocupación	persona
modelo	propiedad de Wikidata relacionada con la fotografía, Wikidata property to identify contributors to creative works	
participante en concursos de belleza	ocupación	animador, modelo, concursante
Alan García	ser humano	
Alberto Fujimori	ser humano	
David Samanez Ocampo	ser humano	
Ricardo Leoncio Elías Arias	ser humano	
Manuel María Ponce Brousset	ser humano	
Gustavo Jiménez	ser humano	
Augusto Leguía	ser humano	
Serapio Calderón	ser humano	
Eduardo López de Romaña	ser humano	
José Pardo y Barreda	ser humano	
Guillermo Billinghurst	ser humano	
Damaris	ser humano	
Gastón Acurio	ser humano	
Susana Baca	ser humano	
Paolo Guerrero	ser humano	
Ronald Gamarra	ser humano	
Juan Diego Flórez	ser humano	
Rufino Lecca	ser humano	
Manuel Scorza	ser humano	
Marco Arana	ser humano	
Universidad Sorbona NuevaParís 3	editorial, universidad en Francia, editorial académica	
Japón	película	
Universidad de Wisconsin–Milwaukee	universidad pública, universidad de investigación, institución educativa pública de los Estados Unidos	
Distrito de Huancarama	distrito de Perú	
Pisco	ciudad, gran ciudad	
Cerro de Pasco	ciudad	
Escuela Militar de Chorrillos	academia militar	
Lambayeque	página de desambiguación de Wikimedia	
Orden del Águila Blanca	orden	
Paucartambo	ciudad	
Universidad Nacional de San Antonio Abad del Cusco	universidad pública	
Stonyhurst College	internado, asociación caritativa, edificio escolar, escuela privada	
Arica	gran ciudad, ciudad de Chile	
cantante	grupo de ocupaciones de la CIUO, ocupación en la música	músico, creative and performing artist
Le Cordon Bleu	Gran Escuela, institución educativa	
embajador de buena voluntad de Unicef	profesión, título de autoridad, título honorífico, cargo	Embajador de Buena Voluntad
Distrito de Chorrillos	distrito de Perú	
Universidad Nacional de Educación Enrique Guzmán y Valle	universidad	
Ministro de Cultura del Perú	cargo público	ministro de Cultura
músico	ocupación, profesión musical	artista
Instituto de Música Curtis	conservatorio de música, academia de música, institución educativa privada sin fines de lucro	
Kammersänger	título honorífico	
poeta	profesión	escritor
Cajamarca	ciudad, gran ciudad	
Pontificia Universidad Gregoriana	universidad pontificia, universidad jesuita	
congresista del Perú	cargo	parlamentario
Yma Súmac	ser humano	
Alexis Amore	ser humano	
Álvaro Vargas Llosa	ser humano	
María Julia Mantilla	ser humano	
Lourdes Flores Nano	ser humano	
Luis Castañeda Lossio	ser humano	
Andrés Mendoza	ser humano	
Susana Higuchi	ser humano	
José María Arguedas	ser humano	
César Vallejo	ser humano	
Keiko Fujimori	ser humano	
Alejandro Toledo	ser humano	
Maria Reiche	ser humano	
Rafael Hoyos Rubio	ser humano	
José Antonio Chang	ser humano	
Valeria Silva	ser humano	
Nicolás de Piérola	ser humano	
Manuel Candamo Iriarte	ser humano	
Alfonso Grados Bertorini	ser humano	
