entidad	instancia_de	subclase_de
Byron Guamá	ser humano	
Christian Benítez	ser humano	
Iván Hurtado	ser humano	
Guayaquil	ciudad, gran ciudad, ciudad más grande	
abogado	profesión jurídica	jurista
Universidad de Guayaquil	universidad	
Presidente del Ecuador	cargo público	jefe de Estado, presidente de la Republica, jefe del Gobierno
Curazao	país del Reino de los Países Bajos	
Ambuquí	parroquia, parroquia de Ecuador, entidad territorial artificial	
diputado Nacional del Ecuador	cargo	diputado
Colombia	país, república, Estado laico, estado soberano	
San Lorenzo	municipio, ciudad de Argentina	
entrenador	propiedad de Wikidata relacionada con las organizaciones deportivas, Wikidata qualifier to describe the object of a statement	
héroe	arquetipo literario, ocupación, moral status	ser humano que podría ser de ficción
nadador	ocupación	deportista
tenista	profesión	deportista, jugador competitivo
Universidad de las Fuerzas Armadas - ESPE	universidad, editor de acceso abierto	
atleta	ocupación	deportista
embajador	rango diplomático, título de autoridad, cargo	jefe de misión, plenipotenciario
España	país, Estado nación, reino, estado soberano, país mediterráneo	
embajador de buena voluntad de Unicef	profesión, título de autoridad, título honorífico, cargo	Embajador de Buena Voluntad
Cantón Espejo	cantón de Ecuador	
Mike Judge	ser humano	
Gabriel García Moreno Lourdes	ser humano	
Andrés F. Córdova	ser humano	
Ramón Castro Jijón	ser humano	
Otto Arosemena Gómez	ser humano	
Mariano Suárez Veintimilla	ser humano	
Manuel María Borrero	ser humano	
Federico Páez	ser humano	
Antonio Pons	ser humano	
José Luis Meza	ser humano	
Arturo Rodas	ser humano	
Manuela Sáenz	ser humano	
Yolanda Kakabadse	ser humano	
Eloy Alfaro Delgada	ser humano	
Andrés Chocho	ser humano	
Agustín Cueva	ser humano	
Juan Carlos Paredes	ser humano	
Frickson Erazo	ser humano	
Albert Paulsen	ser humano	
Carlos Mancheno	ser humano	
productor de televisión	profesión, cargo	profesional de medios, productor
Beavis and Butthead	serie de televisión de animación	
"Unidad Educativa ""Bolívar"""		
Cantón Cañar	cantón de Ecuador	
Universidad Central del Ecuador	universidad, editor de acceso abierto	
Otavalo	ciudad	
Caballero de la Orden Nacional de la Legión de Honor	grado de una orden	caballero
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
boxeador	profesión	deportista, artista marcial
Francia	país, república, estado soberano	
Perú	país, estado soberano	
Orden El Sol del Perú	orden estatal	
alto cargo	cargo público, cargo, ocupación, grupo de ocupaciones de la CIUO	profesional
Cantón Montecristi	cantón de Ecuador	
marchador atlético	profesión	peatón, atleta
profesor universitario	profesión académica	profesor, académico
Universidad de Concepción	página de desambiguación de Wikimedia	
actor	profesión, ocupación, grupo de ocupaciones de la CIUO	artista escénico, creative and performing artist
