entidad,relacion,objeto,source_file
San Pedro Sula,jefe de gobierno,Roberto Contreras,honduras
San Pedro Sula,país,Honduras,honduras
San Pedro Sula,instancia de,gran ciudad,honduras
San Pedro Sula,instancia de,municipio de Honduras,honduras
San Pedro Sula,idioma oficial,español,honduras
Villanueva,país,Honduras,honduras
Villanueva,instancia de,municipio de Honduras,honduras
Villanueva,situado en la entidad territorial administrativa,Departamento de Cortés,honduras
Villanueva,diferente de,Villanueva,honduras
Tegucigalpa,país,Honduras,honduras
Tegucigalpa,instancia de,entidad territorial administrativa,honduras
Tegucigalpa,instancia de,gran ciudad,honduras
Tegucigalpa,instancia de,ciudad más grande,honduras
Tegucigalpa,situado en la entidad territorial administrativa,Distrito Central,honduras
El Porvenir,país,Honduras,honduras
El Porvenir,instancia de,municipio de Honduras,honduras
El Porvenir,situado en la entidad territorial administrativa,Departamento de Atlántida,honduras
El Porvenir,diferente de,El Porvenir,honduras
Catacamas,país,Honduras,honduras
Catacamas,instancia de,municipio de Honduras,honduras
Catacamas,situado en la entidad territorial administrativa,Departamento de Olancho,honduras
Catacamas,diferente de,Catacamas,honduras
El Progreso,país,Honduras,honduras
El Progreso,instancia de,municipio de Honduras,honduras
El Progreso,situado en la entidad territorial administrativa,Departamento de Yoro,honduras
presidente,instancia de,cargo público,honduras
presidente,instancia de,cargo,honduras
presidente,precedido por,presidente electo,honduras
presidente,subclase de,jefe de Estado,honduras
presidente,subclase de,político,honduras
Universidad de Albany,país,Estados Unidos,honduras
Universidad de Albany,instancia de,universidad pública,honduras
Universidad de Albany,instancia de,institución educativa pública de los Estados Unidos,honduras
Universidad de Albany,situado en la entidad territorial administrativa,Albany,honduras
Universidad de Albany,ubicación de la sede,Albany,honduras
Primera Dama de Honduras,país,Honduras,honduras
Primera Dama de Honduras,instancia de,título,honduras
Primera Dama de Honduras,instancia de,cargo,honduras
Primera Dama de Honduras,residencia oficial,Casa Presidencial de Honduras,honduras
Primera Dama de Honduras,subclase de,primera dama,honduras
José Santos Guardiola,país,Honduras,honduras
José Santos Guardiola,instancia de,municipio de Honduras,honduras
José Santos Guardiola,situado en la entidad territorial administrativa,Departamento de Islas de la Bahía,honduras
José Santos Guardiola,nombrado en referencia a,José Santos Guardiola,honduras
Puerto Cortés,descrito en la fuente,Encyclopædia Britannica (11ª edición),honduras
Puerto Cortés,categoría de personas relacionadas,Categoría:Personas de Puerto Cortés,honduras
Puerto Cortés,propietario de,Estadio Excelsior,honduras
Puerto Cortés,diferente de,Puerto Cortés,honduras
La Ceiba,país,Honduras,honduras
La Ceiba,instancia de,gran ciudad,honduras
La Ceiba,instancia de,municipio de Honduras,honduras
La Ceiba,situado en la entidad territorial administrativa,Departamento de Atlántida,honduras
La Ceiba,ciudad hermana,Cali,honduras
Balfate,país,Honduras,honduras
Balfate,instancia de,municipio de Honduras,honduras
Balfate,situado en la entidad territorial administrativa,Departamento de Colón,honduras
Dennis Ferrera,Lugar de nacimiento,San Pedro Sula,honduras
Dennis Ferrera,Ocupación,entrenador,honduras
Dennis Ferrera,Ciudadanía,Honduras,honduras
Dennis Ferrera,Fecha de nacimiento,1980-12-03,honduras
Dennis Ferrera,Ocupación,futbolista,honduras
Dunia Elvir,Lugar de nacimiento,La Ceiba,honduras
Dunia Elvir,Ocupación,periodista,honduras
Dunia Elvir,Ciudadanía,Honduras,honduras
Dunia Elvir,Educado en,Universidad de Phoenix,honduras
Dunia Elvir,Fecha de nacimiento,1973-06-09,honduras
Dunia Elvir,Educado en,Jordan High School,honduras
Eddy Vega,Lugar de nacimiento,Roatán,honduras
Eddy Vega,Ocupación,entrenador,honduras
Eddy Vega,Ciudadanía,Honduras,honduras
Eddy Vega,Fecha de nacimiento,1980-08-13,honduras
Eddy Vega,Ocupación,futbolista,honduras
Edgar Nuñez,Lugar de nacimiento,Honduras,honduras
Edgar Nuñez,Ocupación,entrenador,honduras
Edgar Nuñez,Ciudadanía,Honduras,honduras
Edgar Nuñez,Fecha de nacimiento,1979-08-23,honduras
Edgar Nuñez,Ocupación,futbolista,honduras
Eduardo Arriola,Lugar de nacimiento,Tela,honduras
Eduardo Arriola,Ocupación,entrenador,honduras
Eduardo Arriola,Ciudadanía,Honduras,honduras
Eduardo Arriola,Fecha de nacimiento,1972-10-11,honduras
Eduardo Arriola,Ocupación,futbolista,honduras
Eduardo Bähr,Lugar de nacimiento,Tela,honduras
Eduardo Bähr,Ocupación,actor,honduras
Eduardo Bähr,Ciudadanía,Honduras,honduras
Eduardo Bähr,Premio recibido,Brassavola de oro,honduras
Eduardo Bähr,Fecha de nacimiento,1940-01-01,honduras
Eduardo Bähr,Fecha de defunción,2023-08-04,honduras
Eduardo Bähr,Ocupación,escritor,honduras
Edwin Yobani Avila,Lugar de nacimiento,La Ceiba,honduras
Edwin Yobani Avila,Ocupación,futbolista,honduras
Edwin Yobani Avila,Ciudadanía,Honduras,honduras
Edwin Yobani Avila,Fecha de nacimiento,1976-10-26,honduras
María Antonieta Guillén Vásquez,Lugar de nacimiento,Honduras,honduras
María Antonieta Guillén Vásquez,Ocupación,político,honduras
María Antonieta Guillén Vásquez,Ciudadanía,Honduras,honduras
María Antonieta Guillén Vásquez,Cargo,vicepresidente,honduras
María Antonieta Guillén Vásquez,Fecha de nacimiento,1955-07-13,honduras
Elizabeth Azcona Bocock,Ocupación,político,honduras
Elizabeth Azcona Bocock,Ciudadanía,Honduras,honduras
Elizabeth Azcona Bocock,Educado en,Universidad de Notre Dame,honduras
Elizabeth Azcona Bocock,Fecha de nacimiento,1969-10-05,honduras
Elkin González,Lugar de nacimiento,La Libertad,honduras
Elkin González,Ocupación,entrenador,honduras
Elkin González,Ciudadanía,Honduras,honduras
Elkin González,Fecha de nacimiento,1980-09-29,honduras
Elkin González,Ocupación,futbolista,honduras
Elmer Marín,Lugar de nacimiento,Sonaguera,honduras
Elmer Marín,Ocupación,entrenador,honduras
Elmer Marín,Ciudadanía,Honduras,honduras
Elmer Marín,Fecha de nacimiento,1979-10-14,honduras
Elmer Marín,Ocupación,futbolista,honduras
Elmer Mejia,Lugar de nacimiento,Comayagua,honduras
Elmer Mejia,Ocupación,futbolista,honduras
Elmer Mejia,Ciudadanía,Honduras,honduras
Elmer Mejia,Fecha de nacimiento,1978-06-23,honduras
Elmer Montoya,Lugar de nacimiento,Honduras,honduras
Elmer Montoya,Ocupación,entrenador,honduras
Elmer Montoya,Ciudadanía,Honduras,honduras
Elmer Montoya,Fecha de nacimiento,1977-12-08,honduras
Elmer Montoya,Ocupación,futbolista,honduras
Elvia Alvarado,Ocupación,activista por los derechos humanos,honduras
Elvia Alvarado,Ciudadanía,Honduras,honduras
Elvia Reyes,Ocupación,esgrimista,honduras
Elvia Reyes,Ciudadanía,Honduras,honduras
Elvia Reyes,Fecha de nacimiento,1956-06-12,honduras
Elvis Scott,Lugar de nacimiento,Puerto Cortés,honduras
Elvis Scott,Ocupación,futbolista,honduras
Elvis Scott,Ciudadanía,Honduras,honduras
Elvis Scott,Fecha de nacimiento,1978-08-01,honduras
