entidad,relacion,objeto,source_file
Óscar Muñoz Oviedo,Fecha de nacimiento,1992-05-09,colombia
Óscar Muñoz Oviedo,Fecha de nacimiento,1993-05-09,colombia
Óscar Ruiz,Lugar de nacimiento,Villavicencio,colombia
Óscar Ruiz,Ocupación,abogado,colombia
Óscar Ruiz,Ciudadanía,Colombia,colombia
Óscar Ruiz,Educado en,Universidad Autónoma de Colombia,colombia
Óscar Ruiz,Miembro de,Departamento del Meta,colombia
Óscar Ruiz,Cargo,árbitro FIFA,colombia
Óscar Ruiz,Fecha de nacimiento,1969-11-01,colombia
Óscar Ruiz,Ocupación,árbitro de fútbol,colombia
Óscar Sevilla,Lugar de nacimiento,Albacete,colombia
Óscar Sevilla,Ocupación,ciclista,colombia
Óscar Sevilla,Ciudadanía,España,colombia
Óscar Sevilla,Fecha de nacimiento,1976-09-29,colombia
Óscar Sevilla,Ciudadanía,Colombia,colombia
Oscar Urbina Ortega,Lugar de nacimiento,Arboledas,colombia
Oscar Urbina Ortega,Ocupación,sacerdote católico,colombia
Oscar Urbina Ortega,Ciudadanía,Colombia,colombia
Oscar Urbina Ortega,Educado en,Seminario Mayor de Bogotá,colombia
Oscar Urbina Ortega,Cargo,obispo auxiliar,colombia
Oscar Urbina Ortega,Fecha de nacimiento,1947-04-13,colombia
Oscar Urbina Ortega,Ocupación,obispo católico,colombia
Oscar Urbina Ortega,Cargo,obispo titular,colombia
Oscar Urbina Ortega,Cargo,arzobispo católico,colombia
Oscar Urbina Ortega,Cargo,obispo de Cúcuta,colombia
Oscar Álvarez,Lugar de nacimiento,Antioquia,colombia
Oscar Álvarez,Ocupación,ciclista,colombia
Oscar Álvarez,Ciudadanía,Colombia,colombia
Oscar Álvarez,Fecha de nacimiento,1977-12-09,colombia
Bogotá,jefe de gobierno,Carlos Fernando Galán,colombia
Bogotá,país,Colombia,colombia
Bogotá,instancia de,distrito capital,colombia
Bogotá,instancia de,asentamiento,colombia
Bogotá,instancia de,municipio bajo jurisdicción central,colombia
guionista,sujeto tiene rol,escritor,colombia
guionista,instancia de,profesión del cine,colombia
guionista,género,guion,colombia
guionista,subclase de,escritor,colombia
Estados Unidos,forma de gobierno,república,colombia
Estados Unidos,forma de gobierno,presidencialismo,colombia
Estados Unidos,forma de gobierno,república federal,colombia
Estados Unidos,nombrado en referencia a,América,colombia
Estados Unidos,subdividido en (división administrativa),California,colombia
Encanto,actor de voz,John Leguizamo,colombia
Encanto,actor de voz,Wilmer Valderrama,colombia
Encanto,actor de voz,Adassa,colombia
Encanto,actor de voz,Angie Cepeda,colombia
Encanto,actor de voz,María Cecilia Botero,colombia
Armenia,país,Colombia,colombia
Armenia,instancia de,gran ciudad,colombia
Armenia,instancia de,municipio de Colombia,colombia
Armenia,instancia de,ciudad de Colombia,colombia
criminal,instancia de,clase social,colombia
criminal,instancia de,ocupación,colombia
criminal,subclase de,malhechor,colombia
criminal,subclase de,persona vinculada al derecho,colombia
criminal,ámbito de la ocupación,crimen,colombia
Alemania,miembro de,Organización para la Cooperación y el Desarrollo Económico,colombia
Alemania,miembro de,Organismo Internacional de Energía Atómica,colombia
Alemania,miembro de,Agencia Espacial Europea,colombia
Alemania,miembro de,Programa de exención de visa,colombia
Alemania,miembro de,Organización Internacional del Trabajo,colombia
Cartel de Medellín,país,Colombia,colombia
Cartel de Medellín,instancia de,cartel,colombia
Cartel de Medellín,campo de trabajo,terrorismo,colombia
Cartel de Medellín,campo de trabajo,narcotráfico,colombia
Cartel de Medellín,fundador,Pablo Escobar,colombia
Santa Marta,país,Colombia,colombia
Santa Marta,instancia de,gran ciudad,colombia
Santa Marta,instancia de,distrito de Colombia,colombia
Santa Marta,instancia de,ciudad de Colombia,colombia
Santa Marta,fundador,Rodrigo de Bastidas,colombia
futbolista,instancia de,profesión,colombia
futbolista,instancia de,ocupación,colombia
futbolista,subclase de,jugador competitivo,colombia
futbolista,subclase de,Jugador de fútbol,colombia
Suiza,capital,Berna,colombia
Suiza,idioma oficial,francés,colombia
Suiza,idioma oficial,alemán,colombia
Suiza,idioma oficial,italiano,colombia
Suiza,idioma oficial,romanche,colombia
Colombia,jefe de gobierno,Gustavo Petro,colombia
Colombia,continente,América del Sur,colombia
Colombia,instancia de,país,colombia
Colombia,instancia de,república,colombia
Colombia,instancia de,Estado laico,colombia
Medellín,jefe de gobierno,Federico Gutiérrez,colombia
Medellín,país,Colombia,colombia
Medellín,instancia de,ciudad,colombia
Medellín,instancia de,gran ciudad,colombia
Medellín,instancia de,municipio de Colombia,colombia
entrenador,instancia de,profesión,colombia
entrenador,instancia de,ocupación,colombia
entrenador,ámbito de la ocupación,fútbol,colombia
entrenador,deporte,fútbol,colombia
Cali,país,Colombia,colombia
Cali,instancia de,ciudad,colombia
Cali,instancia de,gran ciudad,colombia
Cali,instancia de,municipio de Colombia,colombia
Cali,fundador,Sebastián de Belalcázar,colombia
Barranquilla,jefe de gobierno,Jaime Pumarejo,colombia
Barranquilla,país,Colombia,colombia
Barranquilla,continente,América del Sur,colombia
Barranquilla,instancia de,gran ciudad,colombia
Barranquilla,instancia de,municipio de Colombia,colombia
escritor,instancia de,profesión,colombia
escritor,instancia de,ocupación,colombia
escritor,subclase de,autor,colombia
escritor,subclase de,artista,colombia
Premio Nacional de Periodismo Simón Bolívar,país,Colombia,colombia
Premio Nacional de Periodismo Simón Bolívar,instancia de,distinción,colombia
Premio Nacional de Periodismo Simón Bolívar,instancia de,premio de periodismo,colombia
Premio Nacional de Periodismo Simón Bolívar,nombrado en referencia a,Jesús María Pellín,colombia
Valledupar,país,Colombia,colombia
Valledupar,instancia de,ciudad,colombia
Valledupar,instancia de,gran ciudad,colombia
Valledupar,instancia de,municipio de Colombia,colombia
Valledupar,himno,Himno de Valledupar,colombia
actor,instancia de,profesión,colombia
actor,instancia de,ocupación,colombia
actor,instancia de,grupo de ocupaciones de la CIUO,colombia
actor,subclase de,artista escénico,colombia
modelo,instancia de,profesión,colombia
modelo,subclase de,profesional de la moda,colombia
modelo,ámbito de la ocupación,modelaje,colombia
modelo,categoría principal del tema,Categoría:Modelos,colombia
Mérida,país,Venezuela,colombia
Mérida,instancia de,ciudad,colombia
Mérida,instancia de,gran ciudad,colombia
Mérida,idioma oficial,español venezolano,colombia
Mérida,himno,Mérida State Anthem,colombia
periodista,instancia de,profesión,colombia
periodista,instancia de,cargo,colombia
periodista,instancia de,ocupación,colombia
periodista,instancia de,grupo de ocupaciones de la CIUO,colombia
periodista,subclase de,autor,colombia
Venezuela,instancia de,país,colombia
Venezuela,instancia de,estado soberano,colombia
Venezuela,jefe de Estado,Nicolás Maduro,colombia
Venezuela,jefe de Estado,Juan Guaidó,colombia
Venezuela,capital,Caracas,colombia
Miss Universo 2009,instancia de,edición de concurso de belleza,colombia
Miss Universo 2009,precedido por,Miss Universo 2008,colombia
Miss Universo 2009,sucedido por,Miss Universo 2010,colombia
Miss Universo 2009,serie,Miss Universo,colombia
