entidad,relacion,objeto,source_file
Juan Samudio,Lugar de nacimiento,Asunción,paraguay
Juan Samudio,Ocupación,futbolista,paraguay
Juan Samudio,Ciudadanía,Paraguay,paraguay
Juan Samudio,Fecha de nacimiento,1978-10-14,paraguay
Livio Abramo,Lugar de nacimiento,Araraquara,paraguay
Livio Abramo,Ocupación,grabador,paraguay
Livio Abramo,Ciudadanía,Brasil,paraguay
Livio Abramo,Miembro de,Accademia delle Arti del Disegno,paraguay
Livio Abramo,Fecha de nacimiento,1903-06-26,paraguay
Livio Abramo,Fecha de defunción,1992-04-26,paraguay
Livio Abramo,Ocupación,historietista,paraguay
Livio Abramo,Ocupación,pintor,paraguay
Livio Abramo,Ocupación,dibujante,paraguay
Livio Abramo,Ciudadanía,Paraguay,paraguay
Guarambaré,país,Paraguay,paraguay
Guarambaré,instancia de,municipio de Paraguay,paraguay
Guarambaré,situado en la entidad territorial administrativa,Departamento Central,paraguay
entrenador,instancia de,profesión,paraguay
entrenador,instancia de,ocupación,paraguay
entrenador,ámbito de la ocupación,fútbol,paraguay
entrenador,deporte,fútbol,paraguay
España,jefe de gobierno,Pedro Sánchez,paraguay
España,continente,Europa,paraguay
España,instancia de,país,paraguay
España,instancia de,Estado nación,paraguay
España,instancia de,reino,paraguay
Paraguay,país,Paraguay,paraguay
Paraguay,jefe de gobierno,Santiago Peña Palacios,paraguay
Paraguay,continente,América del Sur,paraguay
Paraguay,instancia de,país,paraguay
Paraguay,instancia de,estado soberano,paraguay
futbolista,instancia de,profesión,paraguay
futbolista,instancia de,ocupación,paraguay
futbolista,subclase de,jugador competitivo,paraguay
futbolista,subclase de,Jugador de fútbol,paraguay
Asunción,jefe de gobierno,Óscar Rodríguez,paraguay
Asunción,país,Paraguay,paraguay
Asunción,instancia de,ciudad,paraguay
Asunción,instancia de,ciudad fronteriza,paraguay
Asunción,instancia de,capital regional,paraguay
Argentina,miembro de,Organización de las Naciones Unidas,paraguay
Argentina,miembro de,Unión de Naciones Suramericanas,paraguay
Argentina,miembro de,Mercosur,paraguay
Argentina,miembro de,UNESCO,paraguay
