entidad,relacion,objeto,source_file
Carlos Cortés,Fecha de nacimiento,1962-01-01,costa_rica
Carlos Cortés,Ocupación,periodista,costa_rica
Carlos Cortés,Ocupación,novelista,costa_rica
Carlos Luis Fallas,Lugar de nacimiento,Alajuela,costa_rica
Carlos Luis Fallas,Ocupación,escritor,costa_rica
Carlos Luis Fallas,Ciudadanía,Costa Rica,costa_rica
Carlos Luis Fallas,Fecha de nacimiento,1909-01-21,costa_rica
Carlos Luis Fallas,Fecha de defunción,1966-05-07,costa_rica
Carlos Luis Fallas,Ocupación,político,costa_rica
Carmen Lyra,Lugar de nacimiento,San José,costa_rica
Carmen Lyra,Ocupación,escritor,costa_rica
Carmen Lyra,Ciudadanía,Costa Rica,costa_rica
Carmen Lyra,Educado en,Sorbonne Universidad de París,costa_rica
Carmen Lyra,Premio recibido,La Galería de las Mujeres de Costa Rica,costa_rica
Carmen Lyra,Fecha de nacimiento,1887-01-15,costa_rica
Carmen Lyra,Fecha de defunción,1949-05-13,costa_rica
Carmen Lyra,Ocupación,político,costa_rica
Carmen Lyra,Ocupación,pedagogo,costa_rica
Carmen Lyra,Ocupación,escritor de literatura infantil,costa_rica
Carmen Lyra,Ocupación,libretista,costa_rica
Carmen Lyra,Fecha de defunción,1949-05-14,costa_rica
Denis Hamlett,Lugar de nacimiento,Limón,costa_rica
Denis Hamlett,Ocupación,entrenador,costa_rica
Denis Hamlett,Ciudadanía,Costa Rica,costa_rica
Denis Hamlett,Educado en,Universidad George Mason,costa_rica
Denis Hamlett,Fecha de nacimiento,1969-01-09,costa_rica
Denis Hamlett,Ocupación,futbolista,costa_rica
Denis Hamlett,Ocupación,dirigente deportivo,costa_rica
Denis Hamlett,Educado en,Albert Einstein High School,costa_rica
Esteban Ramírez,Lugar de nacimiento,San José,costa_rica
Esteban Ramírez,Ocupación,guionista,costa_rica
Esteban Ramírez,Ciudadanía,Costa Rica,costa_rica
Esteban Ramírez,Fecha de nacimiento,1973-10-03,costa_rica
Esteban Ramírez,Ocupación,productor de televisión,costa_rica
Esteban Ramírez,Ocupación,director de cine,costa_rica
Esteban Ramírez,Ocupación,productor de cine,costa_rica
Esteban Ramírez,Fecha de nacimiento,1973-10-15,costa_rica
Fabián Dobles,Lugar de nacimiento,San Antonio,costa_rica
Fabián Dobles,Ocupación,escritor,costa_rica
Fabián Dobles,Ciudadanía,Costa Rica,costa_rica
Fabián Dobles,Fecha de nacimiento,1918-01-17,costa_rica
Fabián Dobles,Fecha de defunción,1997-03-22,costa_rica
Fabián Dobles,Ocupación,poeta,costa_rica
Fabián Dobles,Ocupación,periodista,costa_rica
Cartago,país,Costa Rica,costa_rica
Cartago,instancia de,ciudad,costa_rica
Cartago,situado en la entidad territorial administrativa,Provincia de Cartago,costa_rica
Cartago,subdividido en (división administrativa),Occidental,costa_rica
Cartago,subdividido en (división administrativa),Oriental,costa_rica
político,instancia de,profesión,costa_rica
político,instancia de,frecuentemente,costa_rica
político,subclase de,profesional,costa_rica
político,ámbito de la ocupación,política,costa_rica
