entidad,relacion,objeto
Luis Corvalán,Ocupación,periodista
Luis Corvalán,Ciudadanía,Chile
Luis Corvalán,Cargo,senador de Chile
Luis Corvalán,Premio recibido,Orden Playa Girón
Luis Corvalán,Fecha de nacimiento,1916-09-14
Luis Corvalán,Fecha de defunción,2010-07-21
Adán Vergara,Lugar de nacimiento,Iquique
Adán Vergara,Ocupación,futbolista
Adán Vergara,Ciudadanía,Chile
Adán Vergara,Fecha de nacimiento,1981-05-09
Luis Fernando Sepúlveda,Lugar de nacimiento,Curicó
Luis Fernando Sepúlveda,Ocupación,ciclista
Luis Fernando Sepúlveda,Ciudadanía,Chile
Luis Fernando Sepúlveda,Fecha de nacimiento,1974-04-08
John Williams Wilson,Lugar de nacimiento,Bristol
John Williams Wilson,Ocupación,marino
John Williams Wilson,Ciudadanía,Chile
John Williams Wilson,Fecha de nacimiento,1798-01-01
John Williams Wilson,Fecha de defunción,1857-09-14
John Williams Wilson,Ocupación,militar
John Williams Wilson,Ciudadanía,Reino Unido de Gran Bretaña e Irlanda
Gonzalo el melano,Lugar de nacimiento,Lebu
Gonzalo el melano,Ocupación,escritor
Gonzalo el melano,Ciudadanía,España
Gonzalo el melano,Educado en,Universidad de Chile
Gonzalo el melano,Empleador,Universidad de Rostock
Gonzalo el melano,Premio recibido,Premio Miguel de Cervantes
Gonzalo el melano,Fecha de nacimiento,1917-12-20
Gonzalo el melano,Fecha de defunción,2011-04-25
Gonzalo el melano,Ocupación,poeta
Gonzalo el melano,Ocupación,político
Gonzalo el melano,Ocupación,profesor universitario
Gonzalo el melano,Premio recibido,Premio Nacional de Literatura
Gonzalo el melano,Premio recibido,Beca Guggenheim
Gonzalo el melano,Premio recibido,Premio Reina Sofía de Poesía Iberoamericana
Gonzalo el melano,Premio recibido,Orden al Mérito Docente y Cultural Gabriela Mistral
Gonzalo el melano,Ciudadanía,Chile
Gonzalo el melano,Empleador,Universidad de Concepción
Otto Georgi,Lugar de nacimiento,Valdivia
Otto Georgi,Ocupación,pintor
Otto Georgi,Ciudadanía,Chile
Otto Georgi,Miembro de,Generación del 13
Otto Georgi,Fecha de nacimiento,1890-01-01
Otto Georgi,Fecha de defunción,1969-01-01
Carlos Escobar Casarin,Lugar de nacimiento,Temuco
Carlos Escobar Casarin,Ocupación,entrenador
Carlos Escobar Casarin,Ciudadanía,Chile
Carlos Escobar Casarin,Fecha de nacimiento,1990-05-21
Carlos Escobar Casarin,Ocupación,futbolista
Astrid Fugellie,Lugar de nacimiento,Punta Arenas
Astrid Fugellie,Ocupación,escritor
Astrid Fugellie,Ciudadanía,Chile
Astrid Fugellie,Fecha de nacimiento,1949-02-02
Astrid Fugellie,Ocupación,profesor
Astrid Fugellie,Ocupación,poeta
Astrid Fugellie,Ocupación,personalidad de radio
Eduardo Carrasco Pirard,Lugar de nacimiento,Santiago de Chile
Eduardo Carrasco Pirard,Ocupación,escritor
Eduardo Carrasco Pirard,Ciudadanía,Chile
Eduardo Carrasco Pirard,Educado en,Universidad de Heidelberg
Eduardo Carrasco Pirard,Miembro de,Quilapayún
Eduardo Carrasco Pirard,Premio recibido,caballero de las Artes y las Letras
Eduardo Carrasco Pirard,Fecha de nacimiento,1940-07-02
Eduardo Carrasco Pirard,Ocupación,poeta
Eduardo Carrasco Pirard,Ocupación,cantante
Eduardo Carrasco Pirard,Ocupación,músico
Eduardo Carrasco Pirard,Ocupación,compositor de canciones
Eduardo Carrasco Pirard,Ocupación,filósofo
Eduardo Carrasco Pirard,Educado en,Universidad de Chile
Eduardo Carrasco Pirard,Educado en,Pontificia Universidad Católica de Chile
Eduardo Carrasco Pirard,Educado en,Liceo José Victorino Lastarria
René Quitral,Lugar de nacimiento,Ñuñoa
René Quitral,Ocupación,futbolista
René Quitral,Ciudadanía,Chile
René Quitral,Fecha de nacimiento,1924-09-15
René Quitral,Fecha de defunción,1982-11-26
René Quitral,Fecha de defunción,1982-11-27
Felipe Camiroaga,Lugar de nacimiento,Santiago de Chile
Felipe Camiroaga,Ocupación,actor
Felipe Camiroaga,Ciudadanía,Chile
Felipe Camiroaga,Educado en,Universidad Las Condes
Felipe Camiroaga,Fecha de nacimiento,1966-10-08
Felipe Camiroaga,Fecha de defunción,2011-09-02
Felipe Camiroaga,Ocupación,presentador de televisión
Agustín Abarca,Lugar de nacimiento,Talca
Agustín Abarca,Ocupación,pintor
Agustín Abarca,Ciudadanía,Chile
Agustín Abarca,Miembro de,Generación del 13
Agustín Abarca,Fecha de nacimiento,1882-12-27
Agustín Abarca,Fecha de defunción,1953-05-28
Agustín Abarca,Ocupación,educador de arte
Ángel Parra,Lugar de nacimiento,Valparaíso
Ángel Parra,Ocupación,cantautor
Ángel Parra,Ciudadanía,Chile
Ángel Parra,Premio recibido,Orden al Mérito Docente y Cultural Gabriela Mistral
Ángel Parra,Fecha de nacimiento,1943-06-27
Ángel Parra,Fecha de defunción,2017-03-11
Ángel Parra,Ocupación,músico
Ángel Parra,Ocupación,guitarrista
Ángel Parra,Ocupación,compositor de bandas sonoras
Ángel Parra,Ocupación,novelista
Ángel Parra,Ocupación,actor de cine
Ángel Parra,Ocupación,artista discográfico
Pedro Lemebel,Lugar de nacimiento,Santiago de Chile
Pedro Lemebel,Ocupación,escritor
Pedro Lemebel,Ciudadanía,Chile
Pedro Lemebel,Educado en,Instituto Pedagógico
Pedro Lemebel,Obra notable,"Tengo miedo, torero"
Pedro Lemebel,Miembro de,Sociedad de Escritores de Chile
Pedro Lemebel,Premio recibido,Premio Anna Seghers
Pedro Lemebel,Fecha de nacimiento,1952-11-21
Pedro Lemebel,Fecha de defunción,2015-01-22
Pedro Lemebel,Ocupación,novelista
Pedro Lemebel,Ocupación,artista de performance
Pedro Lemebel,Ocupación,activista LGBTI
Pedro Lemebel,Ocupación,artista plástico
Pedro Lemebel,Premio recibido,Beca Guggenheim
Pedro Lemebel,Premio recibido,Premio Iberoamericano de Letras José Donoso
Pedro Lemebel,Educado en,Liceo Manuel Barros Borgoño
Soledad Alvear,Lugar de nacimiento,Santiago de Chile
Soledad Alvear,Ocupación,abogado
Soledad Alvear,Ciudadanía,Chile
Soledad Alvear,Educado en,Universidad de Chile
Soledad Alvear,Cargo,senador de Chile
Soledad Alvear,Premio recibido,Gran Cruz de la Orden de Isabel la Católica
Soledad Alvear,Fecha de nacimiento,1950-09-17
Soledad Alvear,Ocupación,político
Soledad Alvear,Ocupación,diplomático
Soledad Alvear,Premio recibido,Gran Cruz de la Orden El Sol del Perú
Soledad Alvear,Educado en,Liceo Nº 1 Javiera Carrera
Soledad Alvear,Cargo,ministro de Relaciones Exteriores de Chile
Bárbara Riveros,Lugar de nacimiento,Santiago de Chile
Bárbara Riveros,Ocupación,triatleta
Bárbara Riveros,Ciudadanía,Chile
Bárbara Riveros,Educado en,Saint George's College
Bárbara Riveros,Premio recibido,Premio al mejor deportista de Chile
Bárbara Riveros,Fecha de nacimiento,1987-08-03
Bárbara Riveros,Premio recibido,Premio Nacional del Deporte de Chile
Manuela Martelli,Lugar de nacimiento,Santiago de Chile
Manuela Martelli,Ocupación,guionista
Manuela Martelli,Ciudadanía,Chile
Manuela Martelli,Educado en,Pontificia Universidad Católica de Chile
Manuela Martelli,Premio recibido,Anexo:Platino a la mejor ópera prima de ficción iberoamericana
Manuela Martelli,Fecha de nacimiento,1983-04-16
Manuela Martelli,Ocupación,director de cine
Manuela Martelli,Ocupación,actor de cine
Manuela Martelli,Ocupación,guionista de cine
Andrés Bello,Lugar de nacimiento,Caracas
Andrés Bello,Ocupación,escritor
Andrés Bello,Ciudadanía,Chile
Andrés Bello,Educado en,Universidad Central de Venezuela
Andrés Bello,Empleador,Universidad de Chile
Andrés Bello,Cargo,senador de Chile
Andrés Bello,Fecha de nacimiento,1781-11-29
Andrés Bello,Fecha de defunción,1865-10-15
Andrés Bello,Ocupación,poeta
Andrés Bello,Ocupación,político
Andrés Bello,Ocupación,diplomático
Andrés Bello,Ocupación,historiador
Marina Arrate,Lugar de nacimiento,Osorno
Marina Arrate,Ocupación,poeta
Marina Arrate,Ciudadanía,Chile
Marina Arrate,Educado en,Universidad de Concepción
Marina Arrate,Fecha de nacimiento,1957-02-14
Marina Arrate,Ocupación,psicólogo
Marina Arrate,Ocupación,crítico literario
Marina Arrate,Educado en,Pontificia Universidad Católica de Chile
Orlando Letelier,Lugar de nacimiento,Temuco
Orlando Letelier,Ocupación,político
Orlando Letelier,Ciudadanía,Chile
